usgs_id,shakemap_version,adm2_id,nombre,lon,lat,mmi_max,pop_mmi6p,pop_mmi7p,pop_mmi8p,pop_65p_mmi7p,pop_65p_mmi6p,bld_mmi6p,built_m2_mmi6p,health_mmi6p,edu_mmi6p,road_km_mmi6p,road_km_principal_mmi6p,bld_mmi7p,built_m2_mmi7p,health_mmi7p,edu_mmi7p,road_km_mmi7p,road_km_principal_mmi7p,ls_pop_expuesta_mmi6p,lq_pop_expuesta_mmi6p,flags_calidad
#meta+id+event,#meta+version,#adm2+code,#adm2+name,#geo+lon,#geo+lat,#indicator+mmi+max,#population+mmi6,#population+mmi7,#population+mmi8,#population+age65+mmi7,#population+age65+mmi6,#infra+buildings+mmi6,#infra+built+area+mmi6,#infra+health+mmi6,#infra+education+mmi6,#infra+roads+km+mmi6,#infra+roads+km+primary+mmi6,#infra+buildings+mmi7,#infra+built+area+mmi7,#infra+health+mmi7,#infra+education+mmi7,#infra+roads+km+mmi7,#infra+roads+km+primary+mmi7,#population+landslide+mmi6,#population+liquefaction+mmi6,#meta+flags
us2000cjfy,1,PE1103,Nasca,-75.078774,-14.940155,6.0,12863.079909861088,0.0,0.0,0.0,1155.1924048398387,9291.0,774494.0,11,61,284.8841020533276,44.03310480442687,0.0,0.0,0,0,0.0,0.0,0.0,0.0,"construido_no_mapeado,discrepancia_poblacional"
us2000cjfy,1,PE0506,Lucanas,-74.346004,-14.616476,6.0,0.0,0.0,0.0,0.0,0.07796900042012567,13.0,0.0,0,0,2.536233829957665,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,"construido_no_mapeado,discrepancia_poblacional"
us2000cjfy,1,PE0507,Parinacochas,-73.635586,-15.032622,6.0,0.0,0.0,0.0,0.0,0.05759299932833528,5.0,0.0,0,0,2.7637757925313173,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,construido_no_mapeado
us2000cjfy,1,PE1101,Ica,-75.643722,-14.29974,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,
us2000cjfy,1,PE1104,Palpa,-75.17417,-14.370949,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,
us2000cjfy,1,PE0403,Caraveli,-73.963582,-15.688905,6.5,24069.96234550327,0.0,0.0,0.0,2173.822007225321,31442.0,1718608.0,11,65,874.8925326103442,180.2894075812475,0.0,0.0,0,0,0.0,0.0,0.0,0.0,"discrepancia_poblacional,construido_no_mapeado,discrepancia_poblacional,construido_no_mapeado"
