usgs_id,shakemap_version,adm2_id,nombre,lon,lat,mmi_max,pop_mmi6p,pop_mmi7p,pop_mmi8p,pop_65p_mmi7p,bld_mmi7p,built_m2_mmi7p,health_mmi7p,edu_mmi7p,road_km_mmi7p,road_km_principal_mmi7p,ls_pop_expuesta_mmi6p,lq_pop_expuesta_mmi6p,flags_calidad
#meta+id+event,#meta+version,#adm2+code,#adm2+name,#geo+lon,#geo+lat,#indicator+mmi+max,#population+mmi6,#population+mmi7,#population+mmi8,#population+age65+mmi7,#infra+buildings+mmi7,#infra+built+area+mmi7,#infra+health+mmi7,#infra+education+mmi7,#infra+roads+km+mmi7,#infra+roads+km+primary+mmi7,#population+landslide+mmi6,#population+liquefaction+mmi6,#meta+flags
us7000455l,1,PA0207,Dolega,-82.463388,8.615419,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,
us7000455l,1,PA0205,Bugaba,-82.682303,8.649771,6.0,26582.634998542257,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3144.422849030234,discrepancia_poblacional
us7000455l,1,PA0204,Boquete,-82.399676,8.751459,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,
us7000455l,1,PA0202,Barú,-82.882395,8.320546,6.0,23229.6368214041,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,14951.018303197809,"discrepancia_poblacional,construido_no_mapeado"
us7000455l,1,PA0203,Boquerón,-82.578261,8.612256,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,discrepancia_poblacional
us7000455l,1,PA0210,Renacimiento,-82.794692,8.740997,6.0,272.0236909389496,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,discrepancia_poblacional
us7000455l,1,PA0206,David,-82.391773,8.42822,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,discrepancia_poblacional
us7000455l,1,PA0201,Alanje,-82.619783,8.376951,6.0,5244.770118801855,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2153.11255936604,"discrepancia_poblacional,construido_no_mapeado,discrepancia_poblacional,construido_no_mapeado"
